# CIRCUITO 10-502 — PARÁMETROS DE LÍNEAS
# Fuente: Datos Circuito 10 502 - 2026.xlsx / hoja 'Líneas '
# Unidades: Length[km], Rtd.Current[kA], R1/X1/R0/X0[Ohm], B1/B0[uS]
#====================================================================================================
Name	In_Folder	Grid	Terminal_i	Terminal_j	Length_km	Conductor	In_kA	R1	X1	B1	R0	X0	B0
10400	1103458	10 502	1103458A	1103458B	0.0012	3F_15_CU_2_XLPE	0.155	0.0008	0.0005	0	0.0013	0.0005	0
10833	10 502	10 502	1101293C	1155245	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
10834	10 502	10 502	1155245	1155270	0.02	3F_15_CU_2_XLPE	0.155	0.0131	0.0085	0	0.0219	0.0082	0
10835	10 502	10 502	1155270	1155253	0.0214	3F_15_CU_2_XLPE	0.155	0.0141	0.0091	0	0.0234	0.0087	0
10836	10 502	10 502	1155253	1155911A	0.0062	3F_15_CU_2_XLPE	0.155	0.0041	0.0026	0	0.0068	0.0025	0
10941	10 502	10 502	1101315C	1155334	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
10942	10 502	10 502	1155334	1155342	0.0199	3F_15_CU_2_XLPE	0.155	0.013	0.0085	0	0.0218	0.0081	0
10943	10 502	10 502	1155342	1155351	0.0139	3F_15_CU_2_XLPE	0.155	0.0091	0.0059	0	0.0152	0.0057	0
10944	10 502	10 502	1155351	1155377	0.0224	3F_15_CU_2_XLPE	0.155	0.0147	0.0096	0	0.0245	0.0091	0
10945	10 502	10 502	1155377	1155679A	0.0081	3F_15_CU_2_XLPE	0.155	0.0053	0.0035	0	0.0089	0.0033	0
10978	10 502	10 502	1101315D	1155334	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
10979	10 502	10 502	1155334	1157019A	0.0143	3F_15_CU_2_XLPE	0.155	0.0094	0.0061	0	0.0157	0.0058	0
11284	10 502	10 502	1101421D	1155741	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
11285	10 502	10 502	1155741	1155750	0.026	3F_15_CU_2_XLPE	0.155	0.0171	0.0111	0	0.0285	0.0106	0
11286	10 502	10 502	1155750	1155776B	0.0044	3F_15_CU_2_XLPE	0.155	0.0029	0.0019	0	0.0048	0.0018	0
11287	10 502	10 502	1101421C	1155741	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
11288	10 502	10 502	1155741	1155792	0.0191	3F_15_CU_2_XLPE	0.155	0.0125	0.0081	0	0.0209	0.0078	0
11289	10 502	10 502	1155792	1155806	0.0352	3F_15_CU_2_XLPE	0.155	0.0231	0.015	0	0.0386	0.0144	0
11290	10 502	10 502	1155806	1155822A	0.0081	3F_15_CU_2_XLPE	0.155	0.0053	0.0035	0	0.0089	0.0033	0
11342	10 502	10 502	1101404B	1155849	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
11343	10 502	10 502	1155849	1155857	0.0221	3F_15_CU_2_XLPE	0.155	0.0145	0.0094	0	0.0242	0.009	0
11344	10 502	10 502	1155857	1155881A	0.0077	3F_15_CU_2_XLPE	0.155	0.0051	0.0033	0	0.0085	0.0032	0
11381	10 502	10 502	1101340B	1155938	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
11382	10 502	10 502	1155938	1155946A	0.0316	3F_15_CU_2_XLPE	0.155	0.0208	0.0135	0	0.0346	0.0129	0
11383	10 502	10 502	1101340C	1155652	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
11384	10 502	10 502	1155652	1155971	0.0117	3F_15_CU_2_XLPE	0.155	0.0077	0.005	0	0.0128	0.0048	0
11385	10 502	10 502	1155971	1155997A	0.0039	3F_15_CU_2_XLPE	0.155	0.0026	0.0017	0	0.0043	0.0016	0
15348	10 502	10 502	1067214B	1667238	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
15349	10 502	10 502	1667238	1103725	0.0256	3F_15_CU_350_XLPE	0.39	0.0037	0.0034	0	0.0052	0.0085	0
15350	10 502	10 502	1103725	1154605	0.0193	3F_15_CU_2_XLPE	0.155	0.0127	0.0083	0	0.0212	0.0079	0
15351	10 502	10 502	1154605	1154613A	0.005	3F_15_CU_2_XLPE	0.155	0.0033	0.0021	0	0.0055	0.0021	0
21781	10 502	10 502	1101307D	2214130	0.012	3F_15_CU_1/0_XLPE	0.2	0.005	0.0019	0	0.008	0.0049	0
21782	10 502	10 502	2214130	2214148	0.0203	3F_15_CU_1/0_XLPE	0.2	0.0085	0.0033	0	0.0135	0.0083	0
21783	10 502	10 502	2214148	2214156A	0.0078	3F_15_CU_1/0_XLPE	0.2	0.0033	0.0013	0	0.0052	0.0032	0
26711	10 502	10 502	1155270	1155253	0.0214	3F_15_CU_2_XLPE	0.155	0.0141	0.0091	0	0.0234	0.0087	0
26712	10 502	10 502	1155253	2567814	0.0054	3F_15_CU_2_XLPE	0.155	0.0035	0.0023	0	0.0059	0.0022	0
26713	10 502	10 502	2567814	2567831A	0.0058	3F_15_CU_2_XLPE	0.155	0.0038	0.0025	0	0.0063	0.0024	0
26922	1101455	10 502	1101455A	1101455E	0.0012	3F_15_ACSR_1/0_AIRE	0.241	0.0006	0.0005	0.0045	0.001	0.0022	0.0021
40905	10 502	10 502	1067010E	2765811	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
40906	10 502	10 502	2765811	2765829	0.0206	3F_15_CU_2_XLPE	0.155	0.0135	0.0088	0	0.0226	0.0084	0
40907	10 502	10 502	2765829	2765837A	0.0024	3F_15_CU_2_XLPE	0.155	0.0016	0.001	0	0.0027	0.001	0
47594	10 502	10 502	1101421G	1155741	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
47595	10 502	10 502	1155741	1155750	0.026	3F_15_CU_2_XLPE	0.155	0.0171	0.0111	0	0.0285	0.0106	0
47596	10 502	10 502	1155750	2789132A	0.0332	3F_15_CU_2_XLPE	0.155	0.0218	0.0142	0	0.0364	0.0136	0
47597	10 502	10 502	2789132A	2789141A	0.0096	3F_15_CU_2_XLPE	0.155	0.0063	0.0041	0	0.0105	0.0039	0
5105	10 502	10 502	1067001D	1069438	0.0423	3F_15_ACSR_4/0_AIRE	0.355	0.0111	0.0182	0.1702	0.0244	0.0781	0.0762
5106	10 502	10 502	1069438	1069446	0.0981	3F_15_ACSR_4/0_AIRE	0.355	0.0256	0.0422	0.3944	0.0566	0.1809	0.1765
5108	10 502	10 502	1069446	1069454	0.0247	3F_15_ACSR_4/0_AIRE	0.355	0.0065	0.0106	0.0995	0.0143	0.0456	0.0445
5109	10 502	10 502	1069454	1069471C	0.04	3F_15_ACSR_4/0_AIRE	0.355	0.0104	0.0172	0.1607	0.0231	0.0737	0.0719
5110	10 502	10 502	1069471C	1069489	0.0702	3F_15_ACSR_4/0_AIRE	0.355	0.0183	0.0302	0.2821	0.0405	0.1294	0.1263
5111	10 502	10 502	1069489	1069497	0.0604	3F_15_ACSR_4/0_AIRE	0.355	0.0158	0.026	0.243	0.0349	0.1115	0.1088
5112	10 502	10 502	1069497	1069501	0.054	3F_15_ACSR_4/0_AIRE	0.355	0.0141	0.0232	0.2171	0.0312	0.0996	0.0972
5113	10 502	10 502	1069501	1069519	0.0434	3F_15_ACSR_4/0_AIRE	0.355	0.0114	0.0187	0.1746	0.0251	0.0801	0.0781
5117	10 502	10 502	1069519	1069527	0.0159	3F_15_ACSR_4/0_AIRE	0.355	0.0042	0.0068	0.0639	0.0092	0.0293	0.0286
5118	10 502	10 502	1069527	1069683	0.071	3F_15_ACSR_4/0_AIRE	0.355	0.0186	0.0306	0.2856	0.041	0.131	0.1278
5120	10 502	10 502	1069683	1067010A	0.0317	3F_15_ACSR_4/0_AIRE	0.355	0.0083	0.0137	0.1276	0.0183	0.0585	0.0571
5127	10 502	10 502	1067010A	1067028A	0.0563	3F_15_ACSR_4/0_AIRE	0.355	0.0147	0.0242	0.2264	0.0325	0.1039	0.1013
5128	10 502	10 502	1067028A	1067036A	0.0113	3F_15_ACSR_4/0_AIRE	0.355	0.003	0.0049	0.0454	0.0065	0.0208	0.0203
5129	10 502	10 502	1067036A	1067044	0.0498	3F_15_ACSR_4/0_AIRE	0.355	0.013	0.0214	0.2002	0.0287	0.0919	0.0896
5130	10 502	10 502	1067044	1067052A	0.0536	3F_15_ACSR_4/0_AIRE	0.355	0.014	0.0231	0.2157	0.031	0.0989	0.0965
5131	1067052	10 502	1067052A	1067052B	0.0012	3F_15_ACSR_2/0_AIRE	0.275	0.0005	0.0005	0.0046	0.0009	0.0022	0.0021
5132	10 502	10 502	1067052B	1067079A	0.0145	3F_15_ACSR_2/0_AIRE	0.275	0.006	0.0065	0.0556	0.0106	0.0269	0.0255
5133	1067079	10 502	1067079A	1067079B	0.0012	3F_15_ACSR_2/0_AIRE	0.275	0.0005	0.0005	0.0046	0.0009	0.0022	0.0021
5134	1067079	10 502	1067079B	1067079C	0.0012	3F_15_ACSR_2/0_AIRE	0.275	0.0005	0.0005	0.0046	0.0009	0.0022	0.0021
5136	10 502	10 502	1067079C	1067087A	0.02	3F_15_ACSR_2/0_AIRE	0.275	0.0083	0.009	0.0771	0.0146	0.0373	0.0353
5140	10 502	10 502	1067052A	1067109A	0.0655	3F_15_ACSR_4/0_AIRE	0.355	0.0171	0.0282	0.2633	0.0378	0.1208	0.1179
5141	1067109	10 502	1067109A	1067109B	0.0012	3F_15_ACSR_4/0_AIRE	0.355	0.0003	0.0005	0.0048	0.0007	0.0022	0.0022
5142	10 502	10 502	1067109B	1067117A	0.0676	3F_15_ACSR_2/0_AIRE	0.275	0.028	0.0303	0.26	0.0494	0.1258	0.1192
5143	10 502	10 502	1067117A	1067125A	0.0583	3F_15_ACSR_2/0_AIRE	0.275	0.0242	0.0261	0.2243	0.0426	0.1085	0.1028
5144	1067125	10 502	1067125A	1067125B	0.0012	3F_15_ACSR_4/0_AIRE	0.355	0.0003	0.0005	0.0048	0.0007	0.0022	0.0022
5145	10 502	10 502	1067125B	1067133A	0.018	3F_15_ACSR_2/0_ECO	0.295	0.0074	0.0067	0.098	0.0106	0.0851	0.024
5146	1067133	10 502	1067133A	1067133B	0.0012	3F_15_ACSR_2/0_ECO	0.295	0.0005	0.0004	0.0065	0.0007	0.0057	0.0016
5147	10 502	10 502	1067125A	1067141A	0.0502	3F_15_ACSR_2/0_AIRE	0.275	0.0208	0.0225	0.1931	0.0367	0.0934	0.0885
5148	10 502	10 502	1067141A	1067150	0.0631	3F_15_ACSR_1/0_AIRE	0.241	0.033	0.0288	0.2377	0.0529	0.118	0.1102
5153	10 502	10 502	1067150	1067176A	0.0738	3F_15_ACSR_2/0_AIRE	0.275	0.0306	0.033	0.284	0.0539	0.1374	0.1302
5154	10 502	10 502	1067176A	1067184A	0.0415	3F_15_ACSR_2/0_AIRE	0.275	0.0172	0.0186	0.1598	0.0303	0.0773	0.0733
5155	1067184	10 502	1067184A	1067184B	0.0012	3F_15_ACSR_2/0_AIRE	0.275	0.0005	0.0005	0.0046	0.0009	0.0022	0.0021
5156	10 502	10 502	1067184B	1067192A	0.0589	3F_15_ACSR_2/0_AIRE	0.275	0.0244	0.0264	0.2265	0.043	0.1096	0.1038
