# CIRCUITO 10-502 — CARGAS LV MODELADAS
# Fuente: hoja 'Cargas_Demanda_corto' columnas A-F
# App.Pow.[MVA], Pow.Fact.[adimensional]
#================================================================================
Name	Grid	Terminal_StaCubic	Terminal_Busbar	S_MVA	FP	P_kW	Q_kVAr
10755_LV_LOAD	10 502	1067052	10755_LV	0.1125	0.9	101.250	49.038
1354_LV_LOAD	10 502	1067036	1354_LV	0.075	0.9	67.500	32.692
1357_LV_LOAD	10 502	1067087	1357_LV	0.075	0.9	67.500	32.692
1360_LV_LOAD	10 502	1067133	1360_LV	0.1125	0.9	101.250	49.038
14224_LV_LOAD	10 502	1101471	14224_LV	0.1125	0.9	101.250	49.038
1436_LV_LOAD	10 502	1101307	1436_LV	0.1125	0.9	101.250	49.038
1437_LV_LOAD	10 502	1101315	1437_LV	0.075	0.9	67.500	32.692
1438_LV_LOAD	10 502	1101455	1438_LV	0.225	0.9	202.500	98.075
2205_LV_LOAD	10 502	1154176	2205_LV	0.1125	0.9	101.250	49.038
2238_LV_LOAD	10 502	1154087	2238_LV	0.1125	0.9	101.250	49.038
2241_LV_LOAD	10 502	1154435	2241_LV	0.075	0.9	67.500	32.692
2242_LV_LOAD	10 502	1154281	2242_LV	0.1125	0.9	101.250	49.038
2246_LV_LOAD	10 502	1102982	2246_LV	0.05	0.9	45.000	21.794
2250_LV_LOAD	10 502	1154494	2250_LV	0.075	0.9	67.500	32.692
2353_LV_LOAD	10 502	1154311	2353_LV	0.1125	0.9	101.250	49.038
2366_LV_LOAD	10 502	1103318	2366_LV	0.045	0.9	40.500	19.615
2372_LV_LOAD	10 502	1154401	2372_LV	0.5	0.9	450.000	217.945
2402_LV_LOAD	10 502	1154541	2402_LV	0.1125	0.9	101.250	49.038
2405_LV_LOAD	10 502	1103253	2405_LV	0.1125	0.9	101.250	49.038
2412_LV_LOAD	10 502	1103385	2412_LV	0.05	0.9	45.000	21.794
2421_LV_LOAD	10 502	1103407	2421_LV	0.15	0.9	135.000	65.383
2641_LV_LOAD	10 502	1155911	2641_LV	0.2	0.9	180.000	87.178
2663_LV_LOAD	10 502	1155679	2663_LV	0.1125	0.9	101.250	49.038
2679_LV_LOAD	10 502	1157019	2679_LV	0.15	0.9	135.000	65.383
2753_LV_LOAD	10 502	1155776	2753_LV	0.15	0.9	135.000	65.383
2754_LV_LOAD	10 502	1155822	2754_LV	0.075	0.9	67.500	32.692
2768_LV_LOAD	10 502	1155881	2768_LV	0.075	0.9	67.500	32.692
2777_LV_LOAD	10 502	1155946	2777_LV	0.075	0.9	67.500	32.692
2778_LV_LOAD	10 502	1155997	2778_LV	0.075	0.9	67.500	32.692
2820_LV_LOAD	10 502	1154591	2820_LV	0.15	0.9	135.000	65.383
2821_LV_LOAD	10 502	1103229	2821_LV	0.03	0.9	27.000	13.077
3770_LV_LOAD	10 502	1154613	3770_LV	0.05	0.9	45.000	21.794
5043_LV_LOAD	10 502	2214156	5043_LV	0.15	0.9	135.000	65.383
5981_LV_LOAD	10 502	2567831	5981_LV	0.1125	0.9	101.250	49.038
703719_LV_LOAD	10 502	1026666	703719_LV	0.075	0.9	67.500	32.692
704517_LV_LOAD	10 502	4938216	704517_LV	0.1125	0.9	101.250	49.038
705180_LV_LOAD	10 502	5604524	705180_LV	0.075	0.9	67.500	32.692
706157_LV_LOAD	10 502	4249372	706157_LV	0.5	0.9	450.000	217.945
708305_LV_LOAD	10 502	8338973	708305_LV	0.1125	0.9	101.250	49.038
713722_LV_LOAD	10 502	8795266	713722_LV	0.1125	0.9	101.250	49.038
716636_LV_LOAD	10 502	9219013	716636_LV	0.075	0.9	67.500	32.692
725416_LV_LOAD	10 502	1067079	725416_LV	0.1125	0.9	101.250	49.038
730082_LV_LOAD	10 502	3453260	730082_LV	0.3	0.9	270.000	130.767
730199_LV_LOAD	10 502	3272966	730199_LV	0.15	0.9	135.000	65.383
733005_LV_LOAD	10 502	1067133	733005_LV	0.15	0.9	135.000	65.383
735969_LV_LOAD	10 502	1154214	735969_LV	0.5	0.9	450.000	217.945
736594_LV_LOAD	10 502	1103458	736594_LV	0.075	0.9	67.500	32.692
738639_LV_LOAD	10 502	4916671	738639_LV	0.3	0.9	270.000	130.767
7985_LV_LOAD	10 502	1067109	7985_LV	0.1125	0.9	101.250	49.038
8628_LV_LOAD	10 502	2765837	8628_LV	0.8	0.9	720.000	348.712
9712_LV_LOAD	10 502	2789141	9712_LV	0.045	0.9	40.500	19.615

# TOTAL_CARGAS=51
# SUMA_S_MVA=7.532500
# SUMA_P_kW=6779.250
