# CIRCUITO 10-502 — DEMANDA EN CABECERA
# Fuente: hoja 'Cargas_Demanda_corto' columnas H-M
# Estación: SE Conucos | Tensión: 13.8 kV | Campo: 10-502
# Fecha registro: 2024-03-19
# I[A] = S[MVA] / (sqrt(3)*13.8) * 1000
#================================================================================
Hora	FechaHora	I_A	S_MVA	P_MW_fp09
00:00	2024-03-19 00:00	34.988891	0.836315	0.752684
01:00	2024-03-19 01:00	33.255543	0.794884	0.715396
02:00	2024-03-19 02:00	31.864212	0.761628	0.685465
03:00	2024-03-19 03:00	28.464582	0.680369	0.612332
04:00	2024-03-19 04:00	26.351856	0.629870	0.566883
05:00	2024-03-19 05:00	26.778217	0.640061	0.576055
06:00	2024-03-19 06:00	29.724251	0.710478	0.639430
07:00	2024-03-19 07:00	35.617115	0.851331	0.766198
08:00	2024-03-19 08:00	50.589564	1.209207	1.088286
09:00	2024-03-19 09:00	61.045963	1.459139	1.313225
10:00	2024-03-19 10:00	66.214587	1.582681	1.424413
11:00	2024-03-19 11:00	69.699398	1.665976	1.499378
12:00	2024-03-19 12:00	70.405606	1.682856	1.514570
13:00	2024-03-19 13:00	67.383972	1.610632	1.449569
14:00	2024-03-19 14:00	64.579012	1.543587	1.389228
15:00	2024-03-19 15:00	68.549802	1.638498	1.474648
16:00	2024-03-19 16:00	68.783712	1.644089	1.479680
17:00	2024-03-19 17:00	67.103957	1.603939	1.443545
18:00	2024-03-19 18:00	62.305758	1.489251	1.340326
19:00	2024-03-19 19:00	55.358352	1.323192	1.190873
20:00	2024-03-19 20:00	49.479085	1.182664	1.064398
21:00	2024-03-19 21:00	44.822421	1.071359	0.964223
22:00	2024-03-19 22:00	40.295409	0.963153	0.866838
23:00	2024-03-19 23:00	37.398868	0.893919	0.804527

# N=24
# S_MAX_MVA=1.682856 @ hora 12:00
# S_MIN_MVA=0.629870 @ hora 04:00
# S_PROM_MVA=1.186212
# I_MAX_A=70.405606
# I_MIN_A=26.351856

# HORAS_ESTUDIO (referencias del OR en columnas O-P)
# Hora=9  -> S=M11 (09:00)
# Hora=12 -> S=M14 (12:00)
# Hora=15 -> S=M17 (15:00)
