Name	In Folder	Grid	Terminal i	Terminal j	Length	Type Name	Rtd.Current	R1	X1	B1	R0	X0	B0
			Busbar	Busbar	km		kA	Ohm	Ohm	uS	Ohm	Ohm	uS
5105	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067001	1069438	0.0423	3F_15_ACSR_4/0_AIRE	0.355	0.011039	0.018196	0.170062	0.024405	0.078003	0.076106
5106	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069438	1069446	0.0981	3F_15_ACSR_4/0_AIRE	0.355	0.0256	0.0422	0.3944	0.0566	0.1809	0.1765
5108	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069446	1069454	0.0247	3F_15_ACSR_4/0_AIRE	0.355	0.006446	0.010625	0.099304	0.014251	0.045548	0.04444
5109	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069454	1069471	0.04	3F_15_ACSR_4/0_AIRE	0.355	0.010438	0.017207	0.160815	0.023078	0.073761	0.071967
5110	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069471	1069489	0.0702	3F_15_ACSR_4/0_AIRE	0.355	0.018319	0.030198	0.282231	0.040503	0.129451	0.126303
5111	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069489	1069497	0.0604	3F_15_ACSR_4/0_AIRE	0.355	0.015762	0.025982	0.242831	0.034849	0.11138	0.108671
5112	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069497	1069501	0.054	3F_15_ACSR_4/0_AIRE	0.355	0.014092	0.023229	0.217101	0.031156	0.099578	0.097156
5113	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069501	1069519	0.0434	3F_15_ACSR_4/0_AIRE	0.355	0.011326	0.01867	0.174485	0.02504	0.080031	0.078085
5117	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069519	1069527	0.0159	3F_15_ACSR_4/0_AIRE	0.355	0.004149	0.00684	0.063924	0.009174	0.02932	0.028607
5118	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069527	1069683	0.071	3F_15_ACSR_4/0_AIRE	0.355	0.018528	0.030542	0.285448	0.040964	0.130927	0.127742
5120	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1069683	1067010	0.0317	3F_15_ACSR_4/0_AIRE	0.355	0.008272	0.013636	0.127446	0.01829	0.058456	0.057034
5127	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067010	1067028	0.0563	3F_15_ACSR_4/0_AIRE	0.355	0.014692	0.024219	0.226348	0.032483	0.103819	0.101294
5128	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067036	1067028	0.0113	3F_15_ACSR_4/0_AIRE	0.355	0.002949	0.004861	0.04543	0.00652	0.020838	0.020331
5129	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067036	1067044	0.0498	3F_15_ACSR_4/0_AIRE	0.355	0.012996	0.021423	0.200215	0.028733	0.091833	0.089599
5130	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067044	1067052	0.0536	3F_15_ACSR_4/0_AIRE	0.355	0.013987	0.023057	0.215493	0.030925	0.09884	0.096436
5132	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067052	1067079	0.0145	3F_15_ACSR_2/0_AIRE	0.275	0.006012	0.006484	0.055799	0.01059	0.026996	0.025581
5136	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067079	1067087	0.02	3F_15_ACSR_2/0_AIRE	0.275	0.008293	0.008943	0.076965	0.014607	0.037236	0.035285
5140	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067052	1067109	0.0655	3F_15_ACSR_4/0_AIRE	0.355	0.017093	0.028176	0.263335	0.037791	0.120784	0.117847
5142	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067109	1067117	0.0676	3F_15_ACSR_2/0_AIRE	0.275	0.028029	0.030228	0.260141	0.049372	0.125857	0.119262
5143	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067117	1067125	0.0583	3F_15_ACSR_2/0_AIRE	0.275	0.024173	0.026069	0.224352	0.04258	0.108542	0.102854
5145	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067125	1067133	0.018	3F_15_ACSR_2/0_ECO	0.295	0.0074	0.0067	0.098	0.0106	0.0851	0.024
5147	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067125	1067141	0.0502	3F_15_ACSR_2/0_AIRE	0.275	0.020815	0.022447	0.193182	0.036664	0.093462	0.088564
5148	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067141	1067150	0.0631	3F_15_ACSR_1/0_AIRE	0.241	0.033002	0.028743	0.237593	0.052841	0.117974	0.110135
5153	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067150	1067176	0.0738	3F_15_ACSR_2/0_AIRE	0.275	0.0306	0.033	0.284	0.0539	0.1374	0.1302
5154	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067176	1067184	0.0415	3F_15_ACSR_2/0_AIRE	0.275	0.017207	0.018557	0.159702	0.03031	0.077264	0.073215
