estado,falla,nodo,terminal_pf,Ikss_kA,Ip_kA,Skss_MVA
SIN_SSFV,3ph,3272966,3272966,5.120268,8.172408,122.3862
SIN_SSFV,3ph,3272869,3272869,5.126847,8.184681,122.5434
SIN_SSFV,3ph,3272761,3272761,5.135643,8.201103,122.7537
SIN_SSFV,3ph,3272664,3272664,5.152654,8.232902,123.1603
SIN_SSFV,3ph,3272567,3272567,5.193505,8.309473,124.1367
SIN_SSFV,3ph,1065971,1065971,4.870019,7.745140,116.4047
SIN_SSFV,3ph,2479567,2479567,4.857759,7.723815,116.1116
SIN_SSFV,3ph,10 502_Term,10 502_Term,26.985361,68.434442,645.0122
SIN_SSFV,3ph,1067001,1067001,26.842434,67.639878,641.5959
SIN_SSFV,1ph,3272966,3272966,3.149836,5.027422,25.0961
SIN_SSFV,1ph,3272869,3272869,3.152350,5.032525,25.1161
SIN_SSFV,1ph,3272761,3272761,3.155707,5.039346,25.1429
SIN_SSFV,1ph,3272664,3272664,3.162184,5.052533,25.1945
SIN_SSFV,1ph,3272567,3272567,3.177658,5.084170,25.3178
SIN_SSFV,1ph,1065971,1065971,2.973367,4.728758,23.6901
SIN_SSFV,1ph,2479567,2479567,2.965876,4.715730,23.6304
SIN_SSFV,1ph,10 502_Term,10 502_Term,26.969873,68.395200,214.8807
SIN_SSFV,1ph,1067001,1067001,26.759459,67.430825,213.2042
CON_SSFV,3ph,3272966,3272966,5.120268,8.172408,122.3862
CON_SSFV,3ph,3272869,3272869,5.126847,8.184681,122.5434
CON_SSFV,3ph,3272761,3272761,5.135643,8.201103,122.7537
CON_SSFV,3ph,3272664,3272664,5.152654,8.232902,123.1603
CON_SSFV,3ph,3272567,3272567,5.193505,8.309473,124.1367
CON_SSFV,3ph,1065971,1065971,4.870019,7.745140,116.4047
CON_SSFV,3ph,2479567,2479567,4.857759,7.723815,116.1116
CON_SSFV,3ph,10 502_Term,10 502_Term,26.985361,68.434442,645.0122
CON_SSFV,3ph,1067001,1067001,26.842434,67.639878,641.5959
CON_SSFV,1ph,3272966,3272966,3.149836,5.027422,25.0961
CON_SSFV,1ph,3272869,3272869,3.152350,5.032525,25.1161
CON_SSFV,1ph,3272761,3272761,3.155707,5.039346,25.1429
CON_SSFV,1ph,3272664,3272664,3.162184,5.052533,25.1945
CON_SSFV,1ph,3272567,3272567,3.177658,5.084170,25.3178
CON_SSFV,1ph,1065971,1065971,2.973367,4.728759,23.6901
CON_SSFV,1ph,2479567,2479567,2.965876,4.715730,23.6304
CON_SSFV,1ph,10 502_Term,10 502_Term,26.969873,68.395166,214.8807
CON_SSFV,1ph,1067001,1067001,26.759459,67.430791,213.2042
