nodo,u_sin_pu,u_con_pu,dU_pu,clave
220 V,0.981105,0.992371,0.011266,0
3272966,0.994842,0.995459,0.000617,1
3272869,0.994843,0.995458,0.000615,1
3272761,0.994844,0.995458,0.000614,1
3272664,0.994847,0.995457,0.000610,1
3272567,0.994853,0.995455,0.000602,1
1065971,0.994851,0.995449,0.000598,1
1101455,0.994856,0.995454,0.000598,0
1101471,0.994851,0.995449,0.000598,0
1101480,0.994851,0.995449,0.000598,0
2479567,0.994851,0.995449,0.000598,1
1101447,0.994882,0.995464,0.000582,0
1101421,0.994903,0.995472,0.000569,0
1155741,0.994902,0.995471,0.000569,0
1155750,0.994900,0.995469,0.000569,0
1155776,0.994900,0.995469,0.000569,0
1155806,0.994899,0.995468,0.000569,0
1155822,0.994898,0.995467,0.000569,0
2789132,0.994899,0.995468,0.000569,0
1155792,0.994901,0.995470,0.000569,0
2789141,0.994899,0.995467,0.000568,0
1101412,0.994941,0.995493,0.000552,0
1101404,0.994980,0.995515,0.000535,0
1155849,0.994979,0.995514,0.000535,0
1618733,0.994976,0.995511,0.000535,0
1618741,0.994979,0.995514,0.000535,0
1618750,0.994979,0.995514,0.000535,0
9219013,0.994976,0.995511,0.000535,0
1155857,0.994978,0.995513,0.000535,0
1155881,0.994977,0.995512,0.000535,0
1101391,0.995053,0.995559,0.000506,0
1101382,0.995096,0.995586,0.000490,0
1101374,0.995143,0.995615,0.000472,0
1101358,0.995206,0.995654,0.000448,0
1045288,0.995237,0.995673,0.000436,0
1101340,0.995247,0.995679,0.000432,0
1155652,0.995247,0.995679,0.000432,0
1155938,0.995247,0.995679,0.000432,0
1155971,0.995246,0.995678,0.000432,0
1155997,0.995246,0.995678,0.000432,0
1155946,0.995245,0.995676,0.000431,0
1101331,0.995314,0.995723,0.000409,0
1101323,0.995365,0.995757,0.000392,0
1155334,0.995420,0.995793,0.000373,0
1155351,0.995416,0.995789,0.000373,0
1101315,0.995421,0.995794,0.000373,0
1155342,0.995418,0.995791,0.000373,0
1155377,0.995414,0.995787,0.000373,0
1155679,0.995413,0.995786,0.000373,0
1157019,0.995418,0.995791,0.000373,0
1101307,0.995502,0.995854,0.000352,0
4938216,0.995497,0.995849,0.000352,0
2214130,0.995501,0.995852,0.000351,0
2214148,0.995498,0.995849,0.000351,0
2214156,0.995498,0.995849,0.000351,0
1155245,0.995583,0.995916,0.000333,0
2567814,0.995574,0.995907,0.000333,0
1101293,0.995590,0.995922,0.000332,0
1155253,0.995575,0.995907,0.000332,0
1155270,0.995578,0.995910,0.000332,0
1155911,0.995574,0.995906,0.000332,0
2567831,0.995574,0.995906,0.000332,0
3453260,0.995565,0.995897,0.000332,0
3453367,0.995566,0.995898,0.000332,0
3453464,0.995568,0.995900,0.000332,0
3453561,0.995574,0.995906,0.000332,0
3769721,0.995725,0.996035,0.000310,0
1101277,0.995829,0.996122,0.000293,0
1103431,0.995828,0.996121,0.000293,0
1103458,0.995826,0.996119,0.000293,0
