nodo,clave,u_09_sin,u_09_con,dU_09,u_12_sin,u_12_con,dU_12,u_15_sin,u_15_con,dU_15
220 V,0,0.982567,0.993755,0.011188,0.980743,0.992028,0.011285,0.981105,0.992371,0.011266
3272966,1,0.995407,0.996021,0.000614,0.994702,0.995319,0.000617,0.994842,0.995459,0.000617
3272869,1,0.995408,0.996020,0.000612,0.994703,0.995319,0.000616,0.994843,0.995458,0.000615
3272761,1,0.995409,0.996020,0.000611,0.994705,0.995319,0.000614,0.994844,0.995458,0.000614
3272664,1,0.995411,0.996019,0.000608,0.994707,0.995318,0.000611,0.994847,0.995457,0.000610
3272567,1,0.995416,0.996016,0.000600,0.994713,0.995317,0.000604,0.994853,0.995455,0.000602
1065971,1,0.995415,0.996010,0.000595,0.994711,0.995310,0.000599,0.994851,0.995449,0.000598
1101455,0,0.995420,0.996015,0.000595,0.994717,0.995316,0.000599,0.994856,0.995454,0.000598
1101471,0,0.995415,0.996010,0.000595,0.994711,0.995310,0.000599,0.994851,0.995449,0.000598
1101480,0,0.995415,0.996010,0.000595,0.994711,0.995310,0.000599,0.994851,0.995449,0.000598
2479567,1,0.995415,0.996010,0.000595,0.994711,0.995310,0.000599,0.994851,0.995449,0.000598
1101447,0,0.995443,0.996022,0.000579,0.994744,0.995326,0.000582,0.994882,0.995464,0.000582
1155741,0,0.995461,0.996027,0.000566,0.994764,0.995334,0.000570,0.994902,0.995471,0.000569
1155792,0,0.995460,0.996026,0.000566,0.994763,0.995333,0.000570,0.994901,0.995470,0.000569
1155822,0,0.995457,0.996023,0.000566,0.994760,0.995330,0.000570,0.994898,0.995467,0.000569
2789141,0,0.995457,0.996023,0.000566,0.994760,0.995330,0.000570,0.994899,0.995467,0.000568
1101421,0,0.995462,0.996028,0.000566,0.994765,0.995335,0.000570,0.994903,0.995472,0.000569
1155750,0,0.995459,0.996025,0.000566,0.994762,0.995332,0.000570,0.994900,0.995469,0.000569
1155776,0,0.995458,0.996024,0.000566,0.994761,0.995331,0.000570,0.994900,0.995469,0.000569
1155806,0,0.995458,0.996024,0.000566,0.994761,0.995330,0.000569,0.994899,0.995468,0.000569
2789132,0,0.995458,0.996024,0.000566,0.994761,0.995330,0.000569,0.994899,0.995468,0.000569
1101412,0,0.995495,0.996045,0.000550,0.994803,0.995356,0.000553,0.994941,0.995493,0.000552
1101404,0,0.995530,0.996062,0.000532,0.994844,0.995380,0.000536,0.994980,0.995515,0.000535
1618733,0,0.995527,0.996059,0.000532,0.994840,0.995376,0.000536,0.994976,0.995511,0.000535
1155849,0,0.995530,0.996062,0.000532,0.994843,0.995379,0.000536,0.994979,0.995514,0.000535
1155881,0,0.995528,0.996060,0.000532,0.994841,0.995377,0.000536,0.994977,0.995512,0.000535
1618741,0,0.995529,0.996061,0.000532,0.994843,0.995379,0.000536,0.994979,0.995514,0.000535
1618750,0,0.995530,0.996062,0.000532,0.994843,0.995379,0.000536,0.994979,0.995514,0.000535
9219013,0,0.995526,0.996058,0.000532,0.994840,0.995375,0.000535,0.994976,0.995511,0.000535
1155857,0,0.995528,0.996060,0.000532,0.994842,0.995377,0.000535,0.994978,0.995513,0.000535
1101391,0,0.995595,0.996099,0.000504,0.994918,0.995426,0.000508,0.995053,0.995559,0.000506
1101382,0,0.995634,0.996121,0.000487,0.994963,0.995454,0.000491,0.995096,0.995586,0.000490
1101374,0,0.995676,0.996145,0.000469,0.995012,0.995484,0.000472,0.995143,0.995615,0.000472
