linea,de,a,nodo_de,nodo_a,L_km,conductor,In_kA,en_pdf
5105,1067001D,1069438,1067001,1069438,0.0423,3F_15_ACSR_4/0_AIRE,0.355,SI
5106,1069438,1069446,1069438,1069446,0.0981,3F_15_ACSR_4/0_AIRE,0.355,SI
5108,1069446,1069454,1069446,1069454,0.0247,3F_15_ACSR_4/0_AIRE,0.355,SI
5109,1069454,1069471C,1069454,1069471,0.04,3F_15_ACSR_4/0_AIRE,0.355,SI
5110,1069471C,1069489,1069471,1069489,0.0702,3F_15_ACSR_4/0_AIRE,0.355,SI
5111,1069489,1069497,1069489,1069497,0.0604,3F_15_ACSR_4/0_AIRE,0.355,SI
5112,1069497,1069501,1069497,1069501,0.054,3F_15_ACSR_4/0_AIRE,0.355,SI
5113,1069501,1069519,1069501,1069519,0.0434,3F_15_ACSR_4/0_AIRE,0.355,SI
5117,1069519,1069527,1069519,1069527,0.0159,3F_15_ACSR_4/0_AIRE,0.355,SI
5118,1069527,1069683,1069527,1069683,0.071,3F_15_ACSR_4/0_AIRE,0.355,SI
5120,1069683,1067010A,1069683,1067010,0.0317,3F_15_ACSR_4/0_AIRE,0.355,SI
5127,1067010A,1067028A,1067010,1067028,0.0563,3F_15_ACSR_4/0_AIRE,0.355,SI
5128,1067028A,1067036A,1067028,1067036,0.0113,3F_15_ACSR_4/0_AIRE,0.355,SI
5129,1067036A,1067044,1067036,1067044,0.0498,3F_15_ACSR_4/0_AIRE,0.355,SI
5130,1067044,1067052A,1067044,1067052,0.0536,3F_15_ACSR_4/0_AIRE,0.355,SI
5131,1067052A,1067052B,1067052,1067052,0.0012,3F_15_ACSR_2/0_AIRE,0.275,NO
5132,1067052B,1067079A,1067052,1067079,0.0145,3F_15_ACSR_2/0_AIRE,0.275,SI
5133,1067079A,1067079B,1067079,1067079,0.0012,3F_15_ACSR_2/0_AIRE,0.275,NO
5134,1067079B,1067079C,1067079,1067079,0.0012,3F_15_ACSR_2/0_AIRE,0.275,NO
5136,1067079C,1067087A,1067079,1067087,0.02,3F_15_ACSR_2/0_AIRE,0.275,SI
5140,1067052A,1067109A,1067052,1067109,0.0655,3F_15_ACSR_4/0_AIRE,0.355,SI
5141,1067109A,1067109B,1067109,1067109,0.0012,3F_15_ACSR_4/0_AIRE,0.355,NO
5142,1067109B,1067117A,1067109,1067117,0.0676,3F_15_ACSR_2/0_AIRE,0.275,SI
5143,1067117A,1067125A,1067117,1067125,0.0583,3F_15_ACSR_2/0_AIRE,0.275,SI
5144,1067125A,1067125B,1067125,1067125,0.0012,3F_15_ACSR_4/0_AIRE,0.355,NO
5145,1067125B,1067133A,1067125,1067133,0.018,3F_15_ACSR_2/0_ECO,0.295,SI
5146,1067133A,1067133B,1067133,1067133,0.0012,3F_15_ACSR_2/0_ECO,0.295,NO
5147,1067125A,1067141A,1067125,1067141,0.0502,3F_15_ACSR_2/0_AIRE,0.275,SI
5148,1067141A,1067150,1067141,1067150,0.0631,3F_15_ACSR_1/0_AIRE,0.241,SI
5153,1067150,1067176A,1067150,1067176,0.0738,3F_15_ACSR_2/0_AIRE,0.275,SI
5154,1067176A,1067184A,1067176,1067184,0.0415,3F_15_ACSR_2/0_AIRE,0.275,SI
5155,1067184A,1067184B,1067184,1067184,0.0012,3F_15_ACSR_2/0_AIRE,0.275,NO
5156,1067184B,1067192A,1067184,1067192,0.0589,3F_15_ACSR_2/0_AIRE,0.275,SI
5157,1067192A,1067206A,1067192,1067206,0.0649,3F_15_ACSR_2/0_AIRE,0.275,SI
5158,1067206A,1067214A,1067206,1067214,0.0677,3F_15_ACSR_2/0_AIRE,0.275,SI
5280,1067214A,1101251A,1067214,1101251,0.027,3F_15_ACSR_2/0_AIRE,0.275,SI
5281,1101251D,1101277A,1101251,1101277,0.0313,3F_15_ACSR_1/0_AIRE,0.241,SI
5282,1101277A,3769721,1101277,3769721,0.0529,3F_15_ACSR_1/0_AIRE,0.241,SI
5283,3769721,1101293A,3769721,1101293,0.0685,3F_15_ACSR_1/0_AIRE,0.241,SI
5284,1101293A,1101293B,1101293,1101293,0.0012,3F_15_ACSR_1/0_AIRE,0.241,NO
5285,1101293B,1101307A,1101293,1101307,0.058,3F_15_ACSR_1/0_AIRE,0.241,SI
5286,1101307A,1101307B,1101307,1101307,0.0012,3F_15_ACSR_1/0_AIRE,0.241,NO
5287,1101307B,1101315A,1101307,1101315,0.0666,3F_15_ACSR_1/0_AIRE,0.241,SI
5288,1101315A,1101323,1101315,1101323,0.0583,3F_15_ACSR_1/0_AIRE,0.241,SI
5289,1101323,1101331,1101323,1101331,0.0532,3F_15_ACSR_1/0_AIRE,0.241,SI
5290,1101331,1101340A,1101331,1101340,0.0689,3F_15_ACSR_1/0_AIRE,0.241,SI
5291,1101340A,1045288,1101340,1045288,0.0122,3F_15_ACSR_1/0_AIRE,0.241,SI
5292,1045288,1101358,1045288,1101358,0.0368,3F_15_ACSR_1/0_AIRE,0.241,SI
5294,1101358,1101374A,1101358,1101374,0.0736,3F_15_ACSR_1/0_AIRE,0.241,SI
5295,1101374A,1101382A,1101374,1101382,0.0557,3F_15_ACSR_1/0_AIRE,0.241,SI
5296,1101382A,1101391A,1101382,1101391,0.0513,3F_15_ACSR_1/0_AIRE,0.241,SI
5297,1101404A,1101412,1101404,1101412,0.0539,3F_15_ACSR_1/0_AIRE,0.241,SI
5298,1101412,1101421A,1101412,1101421,0.0506,3F_15_ACSR_1/0_AIRE,0.241,SI
5299,1101421A,1101421B,1101421,1101421,0.0012,3F_15_ACSR_1/0_AIRE,0.241,NO
5300,1101421B,1101447D,1101421,1101447,0.0397,3F_15_ACSR_1/0_AIRE,0.241,SI
5304,1101480B,1065971D,1101480,1065971,0.0426,3F_15_ACSR_1/0_AIRE,0.241,SI
5373,1101404A,1101391A,1101404,1101391,0.0851,3F_15_ACSR_1/0_AIRE,0.241,SI
9137,1067028B,1154141,1067028,1154141,0.0165,3F_15_CU_2_XLPE,0.155,SI
9138,1154141,1154150,1154141,1154150,0.021,3F_15_CU_2_XLPE,0.155,SI
9139,1154150,1154133,1154150,1154133,0.043,3F_15_CU_2_XLPE,0.155,SI
9140,1154133,1154303,1154133,1154303,0.0083,3F_15_CU_2_XLPE,0.155,SI
9141,1067028C,1154141,1067028,1154141,0.0165,3F_15_CU_2_XLPE,0.155,SI
9142,1154141,1154150,1154141,1154150,0.021,3F_15_CU_2_XLPE,0.155,SI
9143,1154150,1154176A,1154150,1154176,0.0089,3F_15_CU_2_XLPE,0.155,SI
9253,1067010C,1154079,1067010,1154079,0.0165,3F_15_CU_2_XLPE,0.155,SI
9254,1154079,1154125,1154079,1154125,0.0356,3F_15_CU_2_XLPE,0.155,SI
9256,1154125,1154117,1154125,1154117,0.0127,3F_15_CU_2_XLPE,0.155,SI
