nodo,aparece_en_pdf,grado_conexiones
1026666,SI,1
1026682,SI,2
1045288,SI,2
1065971,SI,1
1067001,SI,2
1067010,SI,4
1067028,SI,4
1067036,SI,3
1067044,SI,2
1067052,SI,6
1067079,SI,7
1067087,SI,2
1067109,SI,5
1067117,SI,3
1067125,SI,6
1067133,SI,4
1067141,SI,3
1067150,SI,2
1067176,SI,4
1067184,SI,7
1067192,SI,4
1067206,SI,3
1067214,SI,3
1069438,SI,2
1069446,SI,2
1069454,SI,2
1069471,SI,2
1069489,SI,2
1069497,SI,2
1069501,SI,2
1069519,SI,2
1069527,SI,2
1069683,SI,2
1101251,SI,4
1101277,SI,3
1101293,SI,5
1101307,SI,5
1101315,SI,4
1101323,SI,2
1101331,SI,2
1101340,SI,4
1101358,SI,2
1101374,SI,2
1101382,SI,5
1101391,SI,2
1101404,SI,4
1101412,SI,2
1101421,SI,7
1101447,SI,2
1101455,SI,5
1101471,SI,2
1101480,SI,3
1102958,SI,2
1102974,SI,2
1102982,SI,1
1103211,SI,2
1103229,SI,1
1103245,SI,2
1103253,SI,1
1103296,SI,2
1103300,SI,2
1103318,SI,1
1103326,SI,2
1103351,SI,2
1103385,SI,1
1103393,SI,2
1103407,SI,1
1103431,SI,2
1103458,SI,3
1103725,SI,2
1154079,SI,2
1154087,SI,1
1154109,SI,2
1154117,SI,2
1154125,SI,2
1154133,SI,2
1154141,SI,4
1154150,SI,4
1154176,SI,5
1154192,SI,2
1154206,SI,2
1154214,SI,1
1154222,SI,2
1154231,SI,2
1154249,SI,2
1154257,SI,2
1154273,SI,2
1154281,SI,1
1154290,SI,4
1154303,SI,1
1154311,SI,1
1154346,SI,2
1154354,SI,2
1154371,SI,2
1154389,SI,2
1154397,SI,4
1154401,SI,1
1154435,SI,1
1154443,SI,2
1154451,SI,2
1154478,SI,2
1154494,SI,1
1154508,SI,4
1154524,SI,2
1154532,SI,2
1154541,SI,1
1154575,SI,4
1154583,SI,4
1154591,SI,1
1154605,SI,2
1154613,SI,1
1155245,SI,3
1155253,SI,4
1155270,SI,5
1155334,SI,4
1155342,SI,2
1155351,SI,2
1155377,SI,2
1155652,SI,2
1155679,SI,3
1155741,SI,6
1155750,SI,4
1155776,SI,1
1155792,SI,2
1155806,SI,2
1155822,SI,1
1155849,SI,2
1155857,SI,2
1155881,SI,1
1155911,SI,1
1155938,SI,2
1155946,SI,1
1155971,SI,2
1155997,SI,1
1157019,SI,1
1283235,SI,2
1618733,SI,2
1618741,SI,2
1618750,SI,2
1667238,SI,2
1667262,SI,2
2214130,SI,2
2214148,SI,3
2214156,SI,1
2479567,SI,1
2567814,SI,2
2567831,SI,1
2765811,SI,2
2765829,SI,2
2765837,SI,1
2789132,SI,2
2789141,SI,1
3272567,SI,2
3272664,SI,2
3272761,SI,2
3272869,SI,2
3272966,SI,1
3453260,SI,1
3453367,SI,2
3453464,SI,2
3453561,SI,2
3769721,SI,2
4249330,SI,4
4249348,SI,4
4249356,SI,2
4249372,SI,3
4637844,SI,2
4637852,SI,2
4637861,SI,2
4916671,SI,1
4938216,SI,1
5604524,SI,1
5605024,SI,2
5605032,SI,2
8338973,SI,1
8339155,SI,2
8339694,SI,2
8339708,SI,2
8795266,SI,1
9219013,SI,1
9500758,SI,2
9500766,SI,2
9500774,SI,2
10 502_Term,NO,1
